,date,time,temp,dwpt,rhum,prcp,wdir,wspd,pres,coco
0,20180101,00:00:00,11.7,9.4,86,0.0,60.0,9.4,1022.4,
1,20180101,01:00:00,11.1,9.4,89,0.0,140.0,7.6,1022.6,
2,20180101,02:00:00,10.6,8.4,86,0.0,,0.0,1022.6,
3,20180101,03:00:00,8.9,7.2,89,0.0,280.0,0.0,1022.7,
4,20180101,04:00:00,8.3,6.8,90,0.0,280.0,7.6,1022.8,
5,20180101,05:00:00,8.3,6.1,86,0.0,250.0,5.4,1022.5,
6,20180101,06:00:00,7.8,6.7,93,0.0,200.0,0.0,1022.9,5.0
7,20180101,07:00:00,7.2,6.1,93,0.0,200.0,5.4,1023.5,
8,20180101,08:00:00,8.3,6.8,90,0.0,,0.0,1023.6,5.0
9,20180101,09:00:00,10.6,9.4,92,0.0,,0.0,1023.9,5.0
10,20180101,10:00:00,11.7,8.9,83,0.0,40.0,0.0,1024.5,5.0
11,20180101,11:00:00,11.7,8.9,83,0.0,40.0,7.6,1024.2,5.0
12,20180101,12:00:00,12.2,8.9,80,0.0,30.0,5.4,1023.2,5.0
13,20180101,13:00:00,12.8,9.4,80,0.0,20.0,5.4,1022.1,
14,20180101,14:00:00,13.9,9.9,77,0.0,350.0,7.6,1021.3,
15,20180101,15:00:00,13.9,9.3,74,0.0,10.0,7.6,1021.2,
16,20180101,16:00:00,13.9,9.3,74,0.0,50.0,0.0,1020.9,
17,20180101,17:00:00,12.8,8.9,77,0.0,50.0,5.4,1020.6,
18,20180101,18:00:00,13.3,8.4,72,0.0,,0.0,1020.8,
19,20180101,19:00:00,13.9,8.3,69,0.0,,0.0,1020.9,
20,20180101,20:00:00,13.9,7.9,67,0.0,,0.0,1020.9,
21,20180101,21:00:00,11.1,7.8,80,0.0,,0.0,1021.0,
22,20180101,22:00:00,11.7,7.2,74,0.0,,0.0,1021.2,
23,20180101,23:00:00,11.7,8.4,80,0.0,360.0,0.0,1021.7,
24,20180102,00:00:00,11.7,9.4,86,0.0,360.0,5.4,1021.8,
25,20180102,01:00:00,11.7,9.4,86,0.0,50.0,5.4,1021.6,
26,20180102,02:00:00,10.6,8.4,86,0.0,,0.0,1021.6,
27,20180102,03:00:00,10.0,8.3,89,0.0,,0.0,1021.5,
28,20180102,04:00:00,10.0,7.2,83,0.0,10.0,0.0,1021.1,
29,20180102,05:00:00,11.1,8.8,86,0.0,10.0,7.6,1021.5,
30,20180102,06:00:00,11.1,8.8,86,0.0,,0.0,1021.7,
31,20180102,07:00:00,10.6,8.4,86,0.0,,0.0,1021.6,
32,20180102,08:00:00,10.6,8.4,86,0.0,,0.0,1021.7,
33,20180102,09:00:00,11.1,8.8,86,0.0,,0.0,1022.0,
34,20180102,10:00:00,12.2,8.9,80,0.0,,0.0,1022.1,
35,20180102,11:00:00,12.2,8.3,77,0.0,20.0,0.0,1021.9,
36,20180102,12:00:00,12.2,8.9,80,0.0,20.0,9.4,1021.4,
37,20180102,13:00:00,12.8,9.4,80,0.0,10.0,5.4,1020.6,
38,20180102,14:00:00,13.3,9.0,75,0.0,130.0,5.4,1020.3,
39,20180102,15:00:00,14.4,7.9,65,0.0,130.0,5.4,1020.0,
40,20180102,16:00:00,13.9,7.9,67,0.0,,0.0,1019.4,
41,20180102,17:00:00,13.9,7.9,67,0.0,180.0,0.0,1019.5,
42,20180102,18:00:00,13.9,7.9,67,0.0,180.0,5.4,1019.4,
43,20180102,19:00:00,13.9,7.2,64,0.0,150.0,11.2,1019.0,
44,20180102,20:00:00,14.4,6.7,60,0.0,120.0,9.4,1018.6,
45,20180102,21:00:00,13.9,6.0,59,0.0,130.0,5.4,1018.9,
46,20180102,22:00:00,13.9,5.5,57,0.0,150.0,5.4,1019.0,
47,20180102,23:00:00,13.3,6.6,64,0.0,130.0,7.6,1018.6,
48,20180103,00:00:00,13.9,6.0,59,0.0,140.0,9.4,1018.4,
